,title,question_processed,answer_processed,sentiment
0,5 great leo romero,-0.03685789473684211,0.0,-0.03685789473684211
1,5 great tony hawk,-0.06526,0.0,-0.06526
2,5 great wes kremer,-0.014671428571428571,0.0,-0.014671428571428571
3,aaron herrington homeward bound interview,0.101359375,0.257759375,0.2302390625
4,cody chapman bubble interview,0.11756379310344828,0.2728189655172414,0.25397327586206897
5,ed templeton wire crossed interview,0.04091600000000001,0.487236,0.284534
6,giovanni vianna interview alan hannon,0.04144626865671642,0.17802686567164178,0.1304597014925373
7,hayley wilson gassed interview,0.273145945945946,0.32794324324324325,0.4371175675675676
8,ishod wair eye xp interview,0.06437872340425531,0.24535531914893619,0.1870563829787234
9,jack grady squish interview,0.23227543859649122,0.32093508771929824,0.39274298245614037
10,mile silva thrasher interview,0.32919130434782606,0.6225695652173914,0.6404760869565218
11,scramble interview brian reid,0.279721052631579,0.23263684210526314,0.39603947368421055
12,scramble interview max wasungu,0.04990285714285714,0.18785571428571426,0.14383071428571426
13,scramble interview noah mahieu,0.022608571428571433,0.11617142857142856,0.08069428571428572
14,scramble interview vitória mendonça,0.07620937500000001,0.28983125,0.22112500000000002
15,sky brown gassed interview,0.08591590909090908,0.31829772727272726,0.24506477272727273
16,soty go home david gonzalez interview,0.10487068965517242,0.17902758620689654,0.1943844827586207
17,tim robinson interview,0.1452387755102041,0.36308061224489796,0.32677908163265307
18,yuto tokyo interview atiba jefferson,0.2321975,0.43882750000000004,0.45161125
